comment,Нравится скорость отработки заявок,Нравится качество выполнения заявки,Нравится качество работы сотрудников,Понравилось выполнение заявки,Вопрос решен
спасибо 🤗,0,0,0,0,1
"днём звонили был занят за рулём извините,,,, вечером пришли домой всё пересмотрели проверили вашу информацию спасибо нам всё понятно всё на каждый вопрос вы ответили!!! спасибо вам большое.!!!",0,0,0,0,1
большое спасибо. все нормально работает.,0,0,0,0,1
очень оперативно! всë исправили,1,0,0,0,1
"быстро, качествено и оперативно.",1,0,0,0,0
"отзвонились, зафиксировали, дежурный электрик молодец 👏🏻",0,0,0,0,0
всё очень быстро сделали,1,0,0,1,0
спасибо огромное за быстрое решение моей заявки! 👍,1,0,0,0,1
"электрик пришел, все проверил и нам объяснил все. спасибо большое!",0,0,0,0,1
"только положительные эмоции,специалист очень ответственный,огромная благодарность!",0,0,0,0,0
откусили конец сгоревшего ноля. заменили левый автомат. будем наблюдать далее.,0,0,0,0,0
мастеру александру спасибо большое!,0,0,0,0,1
"вежливые, доброжелательные. разъяснили, подсказали.",0,0,1,0,0
хорошая девушка менеджер ! очень понятливая и на 100% вошла в положение всех жителей и донесла это до руководства ! благодарю её!,0,0,0,0,1
спасибо большое за оперативность! хорошего дня вам!,1,0,0,0,1
все хорошо !  быстро пришел мастер сделал все четко .,1,0,0,0,0
"самое главное,оперативно.",1,0,0,0,0
прекрасный мастер,0,0,0,0,0
"сергей анатольевич, мастер своего дела. выполнил работу быстро и качественно, спасибо.",1,1,0,0,1
"отличный специалист, вопрос решен. спасибо.",0,0,0,0,1
устранили неполадку очень оперативно и качественно. большое спасибо.,1,1,0,0,1
"сделали после того,как написали в наш город заявки соседи",0,0,0,1,0
"оперативно и быстро,спасибо сергею!",1,0,0,0,1
спасибо) вы классные 🥰,0,0,0,0,1
спасибо большое 🌹,0,0,0,0,1
в лучшем виде,0,0,0,0,0
спасибо за оперативность!,1,0,0,0,1
"благодарю за оперативное устранение проблемы! отдельная благодарность мастеру за подробное разъяснение о причинах отсутствия горячейводы, приятное общение и человеческое отношение!!!",1,0,0,0,1
спасибо большое вам за работу!,0,0,0,0,1
все быстро и оперативно,1,0,0,0,0
"вопрос решен,ну мусорка снова полная.можно поставить два контейнера?",0,0,0,0,1
"спасибо! не делайте так больше, или хотя бы заранее предупреждайте о раннем отключении воды, чтоб люди с вечера успели её набрать!!",0,0,0,0,1
приехали быстро. спасибо!,1,0,0,1,1
всё быстро . работа выполнена,1,1,0,0,0
благодарю за оперативность!,1,0,0,0,1
"спасибо, отлично",0,0,0,0,1
спасибо за быструю реакцию!,0,0,0,0,1
все отлично.,0,0,0,1,0
претензий нет,0,0,0,0,0
"спасибо большое мастеру, все починил, объяснил!",0,0,0,0,1
спасибо большое всем кто помог решить данную проблему,0,0,0,0,1
"спасибо огромное петрине оксане вдадимировне. из 5 заявок  только она смогла правильно ответить на заявку. а остальных можете увольнять ,работают видно для галочки.",0,0,1,0,1
спасибо огромное,0,0,0,0,1
все очень хорошо,0,0,0,0,0
быстро и четко!)),1,0,0,0,0
спасибо за оперативность,1,0,0,0,1
замечательный шутро и быстро сделали молодец 👍,1,0,0,1,0
спасибо. решили оперативно!,1,0,0,0,1
быстро качественно,1,1,0,0,0
отличный специалист!,0,0,0,0,0
спасибо никита💪,0,0,0,0,1
оперативно. очень вежливый сантехник. приятно было общаться и получить решение проблемы через 25 минут. спасибо.,1,0,1,0,1
спасибо за оперативность.,1,0,0,0,1
спасибо за информацию!,0,0,0,0,1
очень нравится что стали поливать газон,0,0,0,0,0
мастер супер!!!,0,0,0,0,0
спасибо большое за скорость,1,0,0,0,1
спасибо дежурному сантехнику,0,0,0,0,1
спасибо большое!,0,0,0,0,1
"оперативно,спасибо",1,0,0,0,1
сотрудник позвонил и всё понятно объяснил. спасибо.,0,0,1,0,1
спасибо вам татьяна. хорошего дня 🤝👍😎,0,0,1,0,1
благодарю ук за оперативность и решение моего вопроса.,1,0,0,0,1
спасибо большое,0,0,0,0,1
спасибо за оперативность!,1,0,0,0,1
"сотрудник супер,вежливый и работа выполнена на 5+",0,1,1,0,0
молодцы!,0,0,0,0,0
спасибо. очень быстро приняли меры.,1,0,0,0,1
все доступно объяснили.,0,0,0,0,0
"отличный специалист. все показал, рассказал объяснил.",0,0,1,0,0
"отзывчивые менеджеры, всем спасибо за быстроту",1,0,1,0,1
"дана консультация, жду решения",0,0,0,0,0
очень оперативно! спасибо большое!!!,1,0,0,0,1
оперативно и четко решен вопрос. благодарю.,1,0,0,0,1
все на высшем уровне,0,0,0,0,0
спасибо 👍🏻👍🏻👍🏻,0,0,0,0,1
"спасибо,что включили кран",0,0,0,0,1
лучший специалист! спасибо,0,0,0,0,1
"проблема не решена,но даны исчерпывающие разъяснения и рекомеедации",0,0,0,0,0
идеально!,0,0,0,0,0
спасибо большое за помощь!мария решила быстро вопрос.настоящий специалист.,1,0,1,0,1
"супер, спасибо !",0,0,0,0,1
"все прошло быстро,спасибо сотруднику.",1,0,0,0,1
"благодаря помощи анастасии, быстро всё решили. отличная, оперативная работа",1,0,0,0,1
быстро и оперативно спасибо мастеру,1,0,0,0,1
спасибо за вашу работу!,0,0,0,0,1
все устранили в короткие сроки. молодцы,0,0,0,0,1
"быстро, качественно, без лишних вопросов и нюансов",1,1,0,0,0
"оперативно,  качественно! спасибо!",1,1,0,0,1
отличная работа,0,0,0,0,0
спасибо за быстрое решение вопроса!,1,0,0,0,1
спасибо за вашу работу,0,0,0,0,1
очень оперативно. спасибо,1,0,0,0,1
мгновенно. спасибо,0,0,0,0,1
"оказалосьчто это не авария а нюансы системы водоснабжения и отопления.
всё подробно объяснили спасибо!)",0,0,0,0,1
"спасибо. отличная работа, прекрасный коллектив",0,0,0,0,1
спасибо) оперативно устранили проблему.,1,0,0,0,1
быстро понятно спасибо,1,0,0,0,1
вопрос решен,0,0,0,0,1
спасибо за проявленное участие и инциативу.,0,0,0,0,1
ок.,0,0,0,0,0
хоть на заявки быстро отреагировали,1,0,0,0,0
заменили,0,0,0,0,0
спасибо большое за оперативное реагирование и устранение неисправностей!,1,0,0,0,1
большое спасибо за оперативность решения вопроса!,1,0,0,0,1
спасибо за оперативность.,1,0,0,0,1
грамотный специалист.,0,0,0,0,0
"электрик быстро пришёл и всё устранил! спасибо, очень доволен работой!",1,0,0,0,1
оперативно,1,0,0,0,0
"спасибо за оперативность, желательно проверить и другие столбы освещения",1,0,0,0,1
супер оперативно,1,0,0,0,0
быстро умтранили,1,0,0,0,0
оперативно и качественно мастер решил проблему! огромное спасибо ему.,1,1,0,0,1
"быстро исправили, спасибо!",1,0,0,0,1
молодцы!,0,0,0,0,0
супер!!!!,0,0,0,0,0
спасибо за оперативность!,1,0,0,0,1
благодарю за помощь!,0,0,0,0,1
"оперативно, аккуратно, в удобное время.",1,0,0,0,0
"быстро обработали заявку, спасибо за оперативность",1,0,0,0,1
спасибо большое.,0,0,0,0,1
благодарю !,0,0,0,0,1
спасибо большое,0,0,0,0,1
"молодцы, спасибо",0,0,0,0,1
всё сделали отлично,0,0,0,1,0
хороший мастер сделал всё быстро,1,0,0,0,0
проблема решена после того как сходил в офис и разьяснил на пальцах,0,0,0,0,0
"работа выполнена,  в кратчайший срок. благодарю",0,1,0,0,1
"мастер пришел на следующий день и ответил на все вопросы, выдал рекомендации по устранению проблемы. спасибо!",0,0,0,0,1
все сделали очень быстро! спасибо большое!,1,0,0,1,1
"при личном общении были решены все вопросы, полное взаимопонимание, отлично выполненная работа...",0,0,0,0,0
супер оперативно,1,0,0,0,0
всё супер,0,2,0,0,1
спасибо большое за оперативность,1,0,0,0,1
"спасибо, всё оперативно сделано!",1,0,0,0,1
"спасибо,отреагировали очень быстро!",1,0,0,0,1
"очень быстро отреагировали..посмотрим ,как дальше будет..",1,0,0,0,0
"здравствуйте. спасибо геннадию за работу. все проверил и решил работу. просьба если ранее вопрос не решен, то не закрывать заявки просто так, а передавать информацию специалистам в указанной сфере.",0,0,0,0,1
"благодарю за оперативное решение. ответственный сотрудник держал меня в курсе выполнения заявки,за что ему отдельное спасибо.очень клиентоориентированный подход! спасибо!",1,0,0,0,1
спасибо! очень оперативно! 5+,1,0,0,0,1
"вауу, супер спасибо",0,0,0,0,1
наконец то.  спасибо.,0,0,0,0,1
"огромное спасибо, очень помогли! быстро и профессионально!",1,0,0,0,1
"все нормально, спасибо",0,0,0,0,1
"спасибо огромное татьяне, вопрос решился очень оперативно и четко.",1,0,0,0,1
большое спасибо мастеру 👍,0,0,0,0,1
"спасибо оператору,  деж. (аварийной) смене за оперативную работу!!!",0,0,0,0,1
"проблему решили временно, надеюсь люк поменяют",0,0,0,0,1
"отреагировали оперативно, проблему решили и исправили по звонку телефона!",1,0,0,0,1
ольга птушкина  очень быстро и грамотно решила наш вопрос .большое спасибо !!!,1,0,1,0,1
спасибо за обратную связь!,0,0,0,0,1
очень оперативно внесли данные по поверке,1,0,0,0,0
"спасибо вам большое, быстро среагировали",1,0,0,0,1
спасибо.,0,0,0,0,1
решилось само собой,0,0,0,0,0
"сантехник очень быстро отключил воду, а сварщик очень быстро и качественно устранил проблему вновь, надеюсь, больше не увидимся",1,1,0,0,0
быстро среагировали,1,0,0,0,0
спасибо за оперативность,1,0,0,0,1
"все сделали в течении часа, спасибо.",0,0,0,1,1
"спасибо, большое!",0,0,0,0,1
большое спасибо я! оперативно все сделали!,1,0,0,1,1
спасибо за фотоотчет,0,0,0,0,1
"спасибо большое, свет сделали",0,0,0,1,1
быстро отреагировали. пятерка!👍 спасибо.,1,0,0,0,1
огромное спасибо,0,0,0,0,1
мастер своего дела!,0,0,1,0,0
спасибо!!,0,0,0,0,1
отличный сантехник. спасибо за работу!,0,0,0,0,1
замечания устранены,0,0,0,0,0
оперативно исправили неполадку. спасибо!,1,0,0,0,1
огромная благодарность за оперативное и корректное решение моего вопроса!🌸,1,0,0,0,0
супер! спасибо большое!,0,0,0,0,1
"спасибо, быстро и качественно",1,1,0,0,1
"татьяна - супер сотрудник, оперативно решает все вопросы, касательно аренды парковочного места в пригороде лесном.   татьяна максимально ответственный и отзывчивый человек!  лучший сотрудник в управляющей компании, по моему личному мнению!",1,0,1,0,0
спасибо за оперативность,1,0,0,0,1
реагировали быстро отключили сигнализацию пожарный тревоги. спасибо огромное!,1,0,0,0,1
спасибо что проверили ! пеекрасная работа!,0,0,0,0,1
спасибо! оперативно!,1,0,0,0,1
"ответили быстро, но увы ничего не смогут сделать.",1,0,0,0,0
спасибо за быстрое устранение проблемы,1,0,0,0,1
"здравствуйте! большое спасибо дежурному диспетчеру-перезвонил в течение 5 минут от подачи заявки. благодарю за сотрудничество! с уважением, ю. п.",0,0,1,0,1
"четко и понятно, спасибо",0,0,0,0,1
"спасибо, оператор умничка",0,0,0,0,1
быстро,1,0,0,0,0
спасибо большое. проблему мастер решил быстро и качественно 👍!!!,1,1,1,0,1
"спасибо, валерию! все исправил, теперь дома тишина и спокойствие☺️",0,0,0,0,1
"лифт работает,,спасибо.",0,0,0,0,1
"спасибо , оперативно и качественно",1,1,0,0,1
"специалисты приехали быстро, спустили грузовой застрявший лифт на 1 этаж, освободили человека. большое спасибо",1,0,0,1,1
спасибо.,0,0,0,0,1
"ольга, большое спасибо. хорошего дня.",0,0,0,0,1
большое спасибо!,0,0,0,0,1
"надписи убраны, но внешний вид панелей щита испорчен. остались царапины.",0,0,0,0,0
"все, решили оперативно",1,0,0,0,1
спасибо большое за оперативность 🤝,1,0,0,0,1
"работы непосредственно по замене сливной фурнитуры ванны выполнены быстро и качественно. а вот согласование работ - процесс бесконечный, к сожалению и не в пользу собственника. хорошо, что удалось достичь консенсуса.",1,1,0,0,0
большое спасибо!,0,0,0,0,1
оперативно! спасибо,1,0,0,0,1
"устранили быстро. хотелось бы заметить в целом недостатки крепления как в проектировании, когда в металлическую дверь доводчики крепятся обычными саморезами. по кол-ву дырок от старых мест видно, что сама по себе методика крепления не продумана. саморез в металл - слабо живущее решение, с недолгим жизненным циклом.",1,0,0,0,1
очень быстро ответили,1,0,0,0,0
"мастер достаточно быстро решил наш вопрос. надо было повернуть направление регулятора температуры на батарее отопления в другую сторону. после выполнения работы аккуратно все протер,что приятно. большое спасибо!",1,0,0,0,1
все оперативно и качественно!,1,1,0,0,0
все было сделано быстро и профессионально,1,0,0,0,0
хороший сотрудник. приятно общаться и получать ответы на все вопросы.,0,0,0,0,0
мастер своего дела !,0,0,0,0,0
очень быстро! оперативно ответили! спасибо!!!,1,0,0,0,1
супер!!!,0,0,0,0,0
спасибо большое,0,0,0,0,1
спасибо мастерам за оперативность !!!,1,0,0,0,1
спасибо за работу 🤝,0,0,0,0,1
спасибо что быстро ответили👍,1,0,0,0,1
спасибо большое вам за качественную работу.,0,0,0,0,1
спасибо вам за понимание 👍,0,0,0,0,1
оперативно. спасибо,1,0,0,0,1
всё отлично,0,0,0,0,0
очень приятный инженер,0,0,1,0,0
благодарю за починку лифта! работает!,0,0,0,0,1
"оперативно сделали, спасибо",1,0,0,1,1
быстро и четко)спасибо,1,0,0,0,1
спасибо большое за уборку!,0,0,0,0,1
оперативно,1,0,0,0,0
"молодцы, даже нашли время проконсультировать",0,0,0,0,0
молодцы  большое спасибо оксана!,0,0,0,0,1
спасибо. быстро и качественно,1,1,0,0,1
спасибо за оперативность,1,0,0,0,1
супер! спасибо,0,0,0,0,1
"супер, теперь кнопка светится",0,0,0,0,0
очень оперативно! спасибо огромное!,1,0,0,0,1
"пришли,, окна подкрутили. быстро.",1,0,0,0,0
"спасибо что поставили, теперь ждем отопления чтоб понять работает или нет.",0,0,0,0,1
спасибо вам за работу,0,0,0,0,1
"быстро, для подъезда вполне хорошо)",1,0,0,0,0
спасибо. все понятно и благодушно разъяснили.,0,0,0,0,1
быстро устранили👍🏻,1,0,0,0,1
"мастер все сделал быстро. все отлично, работой довольна",1,0,0,1,0
спасибо за оперативную обратную связь 🫶,0,0,0,0,1
спасибо за грамотного специалиста!,0,0,1,0,1
отличный специалист максим луговой,0,0,0,0,0
очень оперативно! спасибо огромное!,1,0,0,0,1
"большое спасибо, всё сделали",0,0,0,1,1
отличная работа! очень профессиональный и вежливый сотрудник!,0,0,1,0,0
спасибо оперативно!! ;,1,0,0,0,1
"быстро сработали, позвонили, сказали, что все хорошо ,ложная тревога",1,0,0,0,0
быстро и оперативно демонтировали замок,1,0,0,0,0
спасибо за оперативную работу !!!,0,0,0,0,1
"оперативно, благодарю!",1,0,0,0,1
большое спасибо сантехнику!,0,0,0,0,1
супер-быстро помогли. по телефону помогли все решить. отлично!,1,0,0,0,1
лифт снова работает. заявку исполнили очень быстро,1,0,0,0,0
быстро и четко!!!,1,0,0,0,0
если бы не сотрудник ук никита - уборщицы бы никогда нормально не помыли нам этаж,0,0,0,0,0
"проблема устранена, достаточно оперативно",1,0,0,0,1
"спасибо сотруднику ук никита, благодаря ему нам нормально  помыли  этаж, спасибо большое",0,0,0,0,1
"вопросов нет, молодцы. супер оперативно",1,0,0,0,0
"всё прошло отлично, заранее позвонил предупредил о приходе, сделал всё быстро, вежливый, разулся хотя я говорил что не нужно у нас пыльно. спасибо.",1,0,1,0,1
благодарю от имени деток и их родителей!,0,0,0,0,1
"отлично, спасибо большое",0,0,0,0,1
спасибо большое!),0,0,0,0,1
благодарю.,0,0,0,0,1
оперативно мастер подошёл. все неполадки устранены. мастер - тактичный молодой человек. спасибо!,1,0,0,0,1
оперативно,1,0,0,0,0
исправлено,0,0,0,0,0
благодарю за оперативность ))хорошего дня),1,0,0,0,1
большое спасибо🌹,0,0,0,0,1
"оперативно решили вопрос, спасибо.",1,0,0,0,1
оперативно,1,0,0,0,0
замечательный мастер,0,0,0,0,0
скорость супер,1,0,0,0,0
быстро проучила,1,0,0,0,0
роман и его коллега супер специалисты 👍🏻👍🏻👍🏻,0,0,1,0,0
спасибо большое мария🤝 👍,0,0,0,0,1
спасибо большое.,0,0,0,0,1
"огромное спасибо, за помощь и проделанную вами работу!",0,0,0,0,1
молодцы,0,0,0,0,0
большое спасибо ольге - очень помогла и ответила на все вопросы ❤️❤️❤️,0,0,0,0,1
выполнена отлично!,0,0,0,0,0
спасибо за быстрое реагирование заявки,1,0,0,0,1
"все работает,спасибо",0,1,0,0,1
супербыстро. спасибо,1,0,0,0,1
огромное спасибо сантехнику геннадию за качественно оказанную услугу и профессионализм. приятно иметь дело с такими людьми.,0,1,1,0,1
спасибо большое!,0,0,0,0,1
спасибо! вопрос решен в сжатые сроки и была предоставлена обратная связь.,0,0,0,0,1
оперативно,1,0,0,0,0
электрик снял показания. будем ждать ответ,0,0,0,0,0
"спасибо, оперативно",1,0,0,0,1
спасибо.,0,0,0,0,1
спасибо огромное за понимание!,0,0,0,0,1
течь устранена,0,0,0,0,0
"оперативно, спасибо",1,0,0,0,1
"спасибо за проверку, за обратный звонок и разъяснение",0,0,0,0,1
"спасибо, но можно убирать регулярно и  без заявок",0,0,0,0,1
быстро! оперативно,1,0,0,0,0
спасибо большое!!!,0,0,0,0,1
оперативно решила проблему),1,0,0,0,0
всё быстро и оперативно!,1,0,0,0,0
"спасибо большое, всё отлично👍",0,0,0,0,1
все быстро и в срок. спасибо,1,0,0,0,1
очень добрая женщина,0,0,0,0,0
спасибо вам большое 🌹,0,0,0,0,1
"небольшая неточность в консультации- нужно набрать код от домофона и нажать ""колокольчик"" на панели, иначе в домашний подъезд не пропускают ;)",0,0,0,0,0
супер специалисты,0,0,0,0,0
все на высшем уровне!,0,0,0,0,0
отлично !,0,0,0,0,0
"выполнено быстро, но хотелось бы, чтобы этого не происходило.",1,0,0,1,0
все рассказали и объяснили,0,0,0,0,0
спасибо большое!,0,0,0,0,1
"спасибо большое, все отлично!",0,0,0,1,1
"все оперативно, быстро, спасибо!",1,0,0,0,1
очень оперативно!,1,0,0,0,0
спасибо большое,0,0,0,0,1
"спасибо. на удивление, вопрос был решён быстро и оперативно.",1,0,0,0,1
"решил ситуацию быстро, спасибо.",1,0,0,0,1
"спасибо большое, все выполнено быстро и качественно 😊👍",1,1,0,1,1
андрей всё сделал хорошо,0,1,1,0,0
"спасибо, очень оперативно!",1,0,0,0,1
спасибо за оперативность!,1,0,0,0,1
"да, спасибо,теперь лифт заработал",0,0,0,0,1
специалист прекрасно выполнил работу! благодарна за отзывчивость. больше бы таких сотрудников.,0,0,1,0,0
"супер
спасибо",0,0,0,0,1
быстро решили проблему,1,0,0,0,1
очень оперативно справились 👍🏼,1,0,0,0,0
спасибо очень быстро отреагировали,1,0,0,0,1
"все сделано оперативно, мастер воронков сергей сделал все быстро",1,0,1,0,0
очень оперативно решили проблему,1,0,0,0,1
спасибо за оперативность,1,0,0,0,1
"все хорошо, спасибо",0,0,0,0,1
оперативно,1,0,0,0,0
добрый день. работы исполнены. благодарю.,0,0,0,0,1
"спасибо татьяне, всю информацию обновили",0,0,0,0,1
спасибо.,0,0,0,0,1
спасибо за оперативность,1,0,0,0,1
спасибо за оперативность!!,1,0,0,0,1
"очень подробно, большое спасибо за консультацию!",0,0,0,0,1
огромное спасибо сергею,0,0,0,0,1
"отзывчивые, приятные, готовы были сразу оформить акт, но ещё раз проверили сушилку, и обнаружили, сто есть кнопка включения",1,0,0,0,0
"спасибо что в нашей ук есть такие специалисты.
причина отсутствия электричества была найдена сразу и быстро устранена.",1,0,1,0,1
большое спасибо за роботу.,0,0,0,0,1
прекрасно выполненная работа. получил ценную рекомендацию на будущее. спасибо!,0,0,0,0,1
быстро отключили пожарную вытяжку,1,0,0,0,0
потрясающе 😻,0,1,0,1,0
сделали все быстро и качественно,1,1,0,1,0
"быстро приехал мастер , составили акт .",1,0,1,0,0
"спасибо, татьяна!!",0,0,0,0,1
"супер мега оперативно, спасибо !)",1,0,0,0,1
отличная работа мастера. быстро и качественно,1,1,0,0,0
"большое спасибо за своевременную обратную связь! всё чётко объяснили,культурно!",0,0,0,0,1
"отличный мастер!
большое спасибо за помощь!",0,0,0,0,1
благодарим за оперативность и понимание,1,0,0,0,0
спасибо большое за оперативность и качество!❤,1,0,0,0,1
"спасибо, что решили свою проблему, а то как то не очень, платишь вовремя, а тебе про долг пишут.",0,0,0,0,1
"разобрались, спасибо",0,0,0,0,1
спасибо 👍,0,0,0,0,1
"мастер быстро пришёл, быстро понял в чем проблема и быстро устранил её, в общем всё отлично, спасибо",1,0,0,0,1
работа выполнена на отлично! быстро и качественно! спасибо большое!,1,1,0,0,1
спасибо. молодцы!,0,0,0,0,1
спасибо за быстрое и качественное решение вопроса,1,1,0,0,1
все отлично! специалист пришёл через 30 минут после заявки. все оперативно починил.,1,0,0,1,0
оперативно,1,0,0,0,0
мастер - самый лучший! спасибо вам огромное за таких сотрудников!!!!,0,0,1,0,1
"спасибо! так быстро сделали , красивую светодиодную лампу поставили",1,0,0,1,1
спасибо большое.,0,0,0,0,1
"оперативно отреагировали на заявку, и устранили.",1,0,0,0,1
доброго дня! спасибо за таких прекрасных сотрудников!,0,0,0,0,1
очень быстро,1,0,0,0,0
спасибо. отлично.,0,0,0,0,1
"заявка выполнена. 
со слов электрика заявка выполнена. в квартире собственник не был. там не проживает..",0,0,0,1,0
мастер пришёл быстро. все быстро сделал.,1,0,0,0,0
благодарю за оперативность,1,0,0,0,1
благодарю за оперативность,1,0,0,0,1
"огромнейшее спасибо.
максимально быстро и качественно!!!
просто сотрудник месяца",1,1,0,0,1
спасибо вам большое 🙏 за оперативность👍и качество !!!🤝,1,0,0,1,1
"оперативно, спасибо",1,0,0,0,1
"вот это скорость 😁👍
спасибо!",1,0,0,0,1
спасибо за оперативность,1,0,0,0,1
шикарный специалист. спасибо за отличную работу и скорость,1,0,0,0,1
ребята молодцы!,0,0,0,0,0
спасибо за обратную связь!,0,0,0,0,1
оперативно,1,0,0,0,0
в первый раз так быстро,1,0,0,0,0
быстро !,1,0,0,0,0
спасибо! оперативно 👍,1,0,0,0,1
спасибо за оперативность!,1,0,0,0,1
оперативно,1,0,0,0,0
оперативно и качественно,1,1,0,0,0
спасибо за оперативность,1,0,0,0,1
"остановили течь, дали рекомендации что делать дальше. большое спасибо!",0,0,0,0,1
оперативно и вежливо. такого нет в москве,1,0,1,0,0
"спасибо за оперативность. но я так и не поняла. почему редукторы нам поставили плохие, когда всем меняли?",1,0,0,0,1
спасибо большое. сантехник быстро устранил засор.,1,0,0,0,1
огромное спасибо за оперативность 🙏,1,0,0,0,1
огромное спасибо за оперативность 🙏,1,0,0,0,1
"приехали быстро , всё сделали чётко. благодарю",1,0,0,1,1
вода стала теплее,0,0,0,0,0
"спасибо большое мастеру, все быстро  сделал",1,0,0,0,1
спасибо за быструю и качественную работу.,1,0,0,1,1
спасибо за оперативность !!!,1,0,0,0,1
"всё подробно показали и объяснили, спасибо!)",0,0,0,0,1
спасибо за оперативность 🤝,1,0,0,0,1
оперативно,1,0,0,0,0
спасибо за разъяснения!,0,0,0,0,1
"сантехник объяснил причину проблемы, что для хорошего напора воды нужно менять на смеситель с 40 картриджем, теперь понятно! спасибо!",0,0,0,0,1
быстро четко,1,0,0,0,0
🙏🙏🙏,0,0,0,0,0
огромное спасибо за оперативность!,1,0,0,0,1
"отличный мастер, решил профессионально вопрос. большое спасибо!!!",0,0,0,0,1
"спасибо вам большое, консультанты помогли с решением проблем, объяснили все очень доступно! спасибо вам огромное 🙏",0,0,0,0,1
супер менеджер,0,0,0,0,0
отлично спасибо,0,0,0,0,1
спасибо большое за быструю реакцию! успокоили 💙,0,0,0,0,1
благодарю за оперативное решение проблемы !,1,0,0,0,1
прекрасный специалист! побольше таких,0,0,1,0,0
"пересчет, и скорость",1,0,0,0,0
спасибо за обновление покраски стен,0,0,0,0,1
выполнили быстро,1,0,0,1,0
спасибо управляющей компании за то что  прислали грамотного специалиста и быстро отреагировали на заявку,1,0,1,1,1
решили мой вопрос. спасибо!,0,0,0,0,1
очень радует работа ук. оперативно! спасибо!,1,0,0,1,1
все исправили,0,0,0,0,1
спасибо за оперативную работу,1,0,0,0,1
"выполнили отлично , обработка заявки была слишком дорогой",0,0,0,1,0
спасибо большое! теперь не скрипят,0,0,0,0,1
спасибо. все прошло очень хорошо,0,0,0,1,1
"спасибо, пришли все поменяли за 10 минут",1,0,0,0,1
все очень оперативно,1,0,0,0,0
огромное спасибо.,0,0,0,0,1
все отлично! спасибо.,0,0,0,1,1
хороший мастер,0,0,1,0,0
спасибо за оперативность!,1,0,0,0,1
выполнена,0,0,0,0,1
"все супер, мастер 👍",0,0,1,1,0
благодарю ребят.,0,0,1,0,1
спасибо большое,0,0,0,0,1
"проблема решена ручки на окна поставили.
спасибо за обратную связь!",0,0,0,0,1
благодарю за проделанную работу!,0,0,0,0,1
"надеюсь и причину устранили, а то после первого дождя будет тоже самое..",0,0,0,0,1
"спасибо, всё чётко.",0,0,0,0,1
спасибо сергей ! )))),0,0,0,0,1
"михаил отличный мастер своего дела. сделал быстро, чисто, дал рекомендации)",1,0,1,0,0
хоть что то сделали 👍👏,0,0,0,1,0
спасибо),0,0,0,0,1
"профессионально, быстро. очень приятный мастер",1,0,1,0,0
"спасибо, вопрос решили, всё стало нормально",0,0,0,0,1
татьяна владимировна большое вам спасибо!!!!,0,0,0,0,1
спасибо за  быстрый ответ!,0,0,0,0,1
огромное спасибо вам от всего подъезда!!!   ))))),0,0,0,0,1
спасибо!),0,0,0,0,1
все отлично,0,0,0,1,0
свершилось,0,0,0,0,0
кнопка лифта 6 этажа в грузовом лифте до сих пор не работает.,0,0,0,0,0
спасибо мастеру,0,0,0,0,1
"спасибо, вам, среагировали оперативно/быстро, а так же всё время были на связи🤝",1,0,0,0,1
"среагировали быстро, благодарю",1,0,0,0,1
спасибо за оперативность!,1,0,0,0,1
отличный мастер!,0,0,1,0,0
"будем верить,что действительно травили",0,0,0,0,0
"спасибо! по крайней мере, по ночам пока шума не слышно.",0,0,0,0,1
быстро,1,0,0,0,0
спасибо за своевременное выполнение заявки...,0,0,0,0,1
все сделали быстро. спасибо,1,0,0,1,1
всё отлично 👍,0,0,0,0,0
"быстро прислали код.
единственное что смущает  коды легкие слишком.",1,0,0,0,0
спасибо! быстро и оперативно закрепили светильник. 👍,1,0,0,0,1
все быстро решили. спасибо,1,0,0,0,1
"оперативное решение вопроса,спасибо",1,0,0,0,1
благодарю за оперативное предоставление информации!,1,0,0,0,1
"всё прекрасно и оперативно, но акт хотелось бы получить",1,0,0,0,0
"все отлично, большое спасибо!",0,0,0,1,1
спасибо за оперативность! супер!,1,0,0,0,1
"быстро, качественно",1,1,0,0,0
оперативно!,1,0,0,0,0
спасибо за быстрый ответ. все понятно объяснили,0,0,0,0,1
молниеносно),0,0,0,0,0
👍👍👍,0,0,0,0,0
спасибо за оперативность !!,1,0,0,0,1
большое спасибо за оперативный ответ,1,0,0,0,1
"все отлично! сантехник оперативно пришел, при мне все устранил! видно, что спец в своем деле!",1,0,0,1,0
"оперативно, профессионально. все устранено!!! спасибо!",1,0,0,0,1
большое спасибо! очень оперативно!,1,0,0,0,1
мастер молодец 👍,0,0,1,0,0
большое спасибо!!!!,1,0,0,0,1
специалист вышел на связь по заявке достаточно быстро. консультация уже не требовалась. муж справился с задачей самостоятельно .,1,0,0,0,0
добросовестный мастер виктор,0,0,0,0,0
спасибо за консультацию,0,0,0,0,1
спасибо большое!,0,0,0,0,1
"к сожалению протечка все равно есть небольшая, нужно менять гайку",0,0,0,0,0
"батарея опять остыла ((
что-то идёт не так 
почему  заявка закрыты?",0,0,0,0,0
спасибо большое за оперативность!,1,0,0,0,1
"всё отлично, сделали в тот де день. спасибо",0,0,0,1,1
спасибо за оперативность!,1,0,0,0,1
"не понимаю как можно отрапортовать что работа выполнена , когда как скрипела дверь и хлопала так и все осталось без изменений.",0,,0,0,0
спасибо за быстрый ответ!,0,0,0,0,1
благадарю вас за оказанную услугу.,0,0,0,0,0
